OverallQual,GrLivArea,MSZoning_RL,BsmtFinType2,MSZoning_RM,GarageCars,LotFrontage,MiscFeature_NA,YearBuilt,Condition1_Artery,ExterCond,LandSlope_Sev,Condition1_PosN,2ndFlrSF,Fence_GdWo,GarageType_2Types,Foundation_PConc,MSZoning_FV,TotRmsAbvGrd,Condition2_Norm,BsmtFinSF1,Condition2_PosA,LotConfig_FR3,Foundation_BrkTil,CentralAir_N,OpenPorchSF,Electrical_FuseA,Electrical_SBrkr,Neighborhood_Gilbert,Condition1_RRNn
5,1086,1,4,0,2,85.0,1,1954,0,3,0,0,0,1,0,0,0,6,1,320,0,0,0,0,0,0,1,0,0
3,1605,0,1,1,1,60.0,1,1915,0,4,0,0,765,0,0,0,0,8,1,0,0,0,0,1,0,0,1,0,0
4,988,0,1,1,1,21.0,1,1973,0,3,0,0,462,1,0,0,0,5,1,462,0,0,0,0,101,0,1,0,0
4,952,1,1,0,1,0.0,1,1956,0,3,0,0,0,0,0,0,0,4,1,228,0,0,0,0,0,1,0,0,0
5,1285,0,6,1,1,50.0,1,1948,0,3,0,0,213,0,0,0,0,6,1,336,0,0,0,0,0,0,1,0,0
4,1768,1,1,0,0,72.0,1,1968,0,3,0,0,0,0,0,0,0,8,1,0,0,0,0,1,0,0,1,0,0
5,1230,0,1,1,2,60.0,1,1910,0,3,0,0,548,0,0,1,0,5,1,0,0,0,0,0,0,0,1,0,0
6,2142,1,1,0,1,100.0,1,1968,0,4,0,0,960,0,0,0,0,8,1,448,0,0,0,0,72,0,1,0,0
6,1337,0,1,1,2,32.0,1,1998,0,4,0,0,0,0,0,1,0,5,1,1201,0,0,0,0,199,0,1,0,0
8,1563,1,1,0,3,78.0,1,2007,0,3,0,0,0,0,0,1,0,6,1,33,0,0,0,0,99,0,1,0,0
5,1065,1,1,0,2,80.0,1,1960,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,1,0,0
7,1474,1,1,0,2,0.0,0,1995,0,3,0,0,670,0,0,1,0,7,1,0,0,0,0,0,72,0,1,1,0
8,2417,1,1,0,2,121.0,1,1991,0,3,0,0,1116,0,0,0,0,9,1,0,0,0,0,0,82,0,1,0,0
6,1560,1,1,0,2,122.0,1,2005,0,3,0,0,876,0,0,1,0,6,1,0,0,0,0,0,38,0,1,1,0
6,1224,0,1,0,2,40.0,1,2009,0,3,0,0,612,0,0,1,1,4,1,0,0,0,0,0,234,0,1,0,0
3,1526,0,1,0,0,105.0,1,1915,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,0,0
4,990,1,1,0,0,60.0,1,1994,0,3,0,0,0,0,0,1,0,5,1,588,0,0,0,0,0,0,1,0,0
4,1040,1,0,0,2,60.0,1,1950,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,29,1,0,0,0
5,1235,1,1,0,2,85.0,1,1961,0,3,0,0,0,1,0,0,0,6,1,600,0,0,0,0,0,0,1,0,0
5,964,1,1,0,2,80.0,1,1921,0,4,0,0,0,0,0,0,0,5,1,713,0,0,1,0,0,0,1,0,0
6,2291,0,1,0,2,60.0,1,1910,0,3,0,0,1031,0,0,0,0,9,1,1046,0,0,1,1,0,0,1,0,0
6,1786,1,1,0,2,69.0,1,1997,0,4,0,0,881,0,0,1,0,7,1,648,0,0,0,0,162,0,1,0,0
6,1470,1,1,0,2,0.0,0,1993,0,4,0,0,790,0,0,1,0,6,1,310,0,0,0,0,63,0,1,1,0
7,1588,1,1,0,2,78.0,1,1999,0,3,0,0,0,0,0,1,0,6,1,1162,0,0,0,0,29,0,1,0,0
4,960,1,1,0,1,73.0,1,1965,0,3,0,0,0,0,0,0,0,6,1,520,0,0,0,0,0,0,0,0,0
5,835,1,1,0,1,85.0,0,1920,0,3,0,0,0,0,0,0,0,5,1,108,0,0,1,1,0,0,1,0,0
4,1225,1,1,0,0,77.0,0,1959,0,3,0,0,0,0,0,0,0,6,1,569,0,0,0,0,0,0,1,0,0
6,1610,1,1,0,2,0.0,1,1977,0,3,0,0,0,0,0,1,0,6,1,1200,0,0,0,0,68,0,1,0,0
6,1732,1,1,0,2,77.0,1,1985,0,3,0,0,755,0,0,0,0,7,1,0,0,0,0,0,46,0,1,0,0
5,1535,1,0,0,2,64.0,1,1979,0,2,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0
7,1226,1,1,0,3,94.0,1,2009,0,3,0,0,0,0,0,1,0,6,1,0,0,0,0,0,36,0,1,0,0
7,1818,0,1,1,1,0.0,1,1931,0,2,0,0,592,0,0,1,0,7,1,224,0,0,0,0,0,0,0,0,0
8,1992,0,1,0,2,75.0,1,2003,0,3,0,0,939,0,0,1,1,9,1,0,0,0,0,0,45,0,1,0,0
4,1047,0,1,1,1,60.0,0,1885,0,3,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,1,0,0
5,789,0,4,1,1,50.0,1,1948,0,3,0,0,0,0,0,0,0,5,1,104,0,0,0,0,0,0,1,0,0
5,1517,0,1,1,0,85.0,1,1919,1,3,0,0,520,0,0,0,0,7,1,0,0,0,0,1,0,0,0,0,0
6,1844,1,1,0,2,105.0,1,1977,0,3,0,0,0,0,0,0,0,7,1,705,0,0,0,0,122,0,1,0,0
6,1855,1,1,0,1,75.0,1,1954,0,3,0,0,639,0,0,0,0,7,1,444,0,0,0,0,0,0,1,0,0
7,1430,1,1,0,2,0.0,1,2000,0,3,0,0,656,0,0,1,0,7,1,250,0,0,0,0,0,0,1,1,0
7,2696,1,1,0,3,77.0,1,2007,0,3,0,0,1414,0,0,1,0,10,1,984,0,0,0,0,184,0,1,0,0
6,2259,1,3,0,2,0.0,1,1953,0,4,0,0,0,0,0,0,0,7,1,35,0,0,0,0,120,0,1,0,0
6,2320,1,2,0,1,61.0,1,1945,0,3,0,0,884,0,0,0,0,9,1,774,0,0,0,0,0,0,1,0,0
6,1458,0,1,0,2,34.0,1,1999,0,3,0,0,729,0,0,1,1,5,1,419,0,0,0,0,32,0,1,0,0
5,1092,1,4,0,1,0.0,1,1962,0,3,0,0,0,0,0,0,0,6,1,170,0,0,0,0,20,0,1,0,0
5,1125,1,1,0,2,74.0,1,2006,0,3,0,0,0,0,0,1,0,5,1,0,0,0,0,0,64,0,1,0,0
7,3222,1,1,0,3,90.0,1,1990,0,3,0,0,1523,0,0,1,0,11,1,1470,0,0,0,0,0,0,1,0,0
6,1456,1,1,0,2,65.0,1,2005,0,3,0,0,728,0,0,1,0,8,1,0,0,0,0,0,24,0,1,0,0
6,988,1,1,0,2,0.0,1,1969,0,3,1,0,0,0,0,0,0,4,1,938,0,0,0,0,130,0,1,0,0
4,1123,0,1,1,1,50.0,1,1939,0,3,0,0,351,0,0,1,0,4,1,0,0,0,0,0,0,0,1,0,0
6,1080,1,1,0,1,75.0,1,1958,0,4,0,0,0,0,0,0,0,5,1,570,0,0,0,0,0,0,1,0,0
6,1199,1,1,0,2,55.0,1,1993,0,3,0,0,0,0,0,1,0,5,1,300,0,0,0,0,63,0,1,0,0
6,1586,1,1,0,2,48.0,1,1979,0,4,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,1,0,0
6,754,0,1,1,0,60.0,1,1935,0,2,0,0,0,0,0,0,0,5,1,490,0,0,0,1,0,0,1,0,0
6,958,1,1,0,2,0.0,1,1976,0,3,0,0,0,0,0,0,0,5,1,120,0,0,0,0,205,0,1,0,0
5,840,0,1,1,0,55.0,1,1930,0,4,0,0,0,0,0,0,0,5,1,116,0,0,1,0,0,0,1,0,0
6,1348,1,1,0,2,69.0,1,1966,0,3,0,1,688,0,0,0,0,6,1,512,0,0,0,0,108,0,1,0,0
5,1053,1,4,0,2,69.0,1,1958,0,3,0,0,0,0,1,0,0,6,1,567,0,0,0,0,80,1,0,0,0
7,2157,1,1,0,2,88.0,1,1966,0,3,0,0,941,0,0,0,0,8,1,445,0,0,0,0,66,0,1,0,0
6,2054,1,1,0,2,0.0,1,2000,0,3,0,0,1032,0,0,1,0,7,1,695,0,0,0,0,48,0,1,1,0
5,1327,1,1,0,2,75.0,1,1959,0,3,0,0,0,0,0,0,0,7,1,405,0,0,0,0,0,0,1,0,0
8,1296,1,1,0,2,0.0,1,2001,0,3,0,0,0,0,0,1,0,6,1,1005,0,0,0,0,25,0,1,0,0
5,1721,1,1,0,2,78.0,1,1968,0,3,0,0,0,0,0,0,0,7,1,570,0,0,0,0,96,0,1,0,0
7,1682,1,1,0,2,80.0,1,1970,0,3,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,1,0,0
5,1214,1,1,0,1,0.0,1,1967,0,3,0,0,0,0,0,0,0,5,1,695,0,0,0,0,111,0,1,0,0
7,1959,1,1,0,3,82.0,1,1988,0,3,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,0,1,0,0
8,1852,1,1,0,3,73.0,1,1999,0,3,0,0,848,0,0,1,0,7,1,668,0,0,0,0,106,0,1,0,0
6,1764,1,1,0,2,65.0,1,1997,0,3,0,0,836,0,0,1,0,7,1,821,0,0,0,0,99,0,1,0,0
4,864,1,1,0,0,70.0,1,1971,0,3,0,0,0,0,0,0,0,5,1,432,0,0,0,0,0,0,1,0,0
7,1734,1,1,0,2,78.0,1,2005,0,3,0,0,0,0,0,1,0,7,1,1300,0,0,0,0,24,0,1,0,0
5,1385,1,1,0,2,71.0,1,1952,1,2,0,0,475,0,0,0,0,6,1,507,0,0,0,0,0,0,1,0,0
7,1501,1,1,0,2,78.0,1,1999,0,3,0,0,0,0,0,1,0,6,1,679,0,0,0,0,29,0,1,0,0
5,1728,0,1,1,2,70.0,1,1963,0,3,0,0,0,0,0,0,0,10,1,1332,0,0,0,0,0,0,1,0,0
6,1709,0,1,1,2,24.0,1,2004,0,3,0,0,739,0,0,1,0,7,1,0,0,0,0,0,40,0,1,0,0
5,875,0,1,1,1,51.0,1,1931,0,3,0,0,0,0,0,0,0,5,1,209,0,0,1,0,0,1,0,0,0
7,2035,1,1,0,2,0.0,1,2001,0,3,0,0,1151,0,0,1,0,8,1,0,0,0,0,0,48,0,1,1,0
7,1080,1,1,0,0,63.0,1,2004,0,3,0,0,0,0,0,1,0,6,1,680,0,0,0,0,0,0,1,0,0
5,1344,0,1,1,1,0.0,1,1936,0,3,0,0,448,0,0,0,0,7,1,0,0,0,1,0,114,1,0,0,0
5,969,1,1,0,2,120.0,1,1975,0,3,0,0,0,0,0,0,0,5,1,716,0,0,0,0,0,0,1,0,0
8,1710,1,1,0,3,107.0,1,2007,0,3,0,0,0,0,0,1,0,6,1,1400,0,0,0,0,102,0,1,0,0
6,1993,1,1,0,2,0.0,1,1971,0,3,0,0,896,1,0,0,0,8,1,416,0,0,0,0,66,0,1,0,0
6,1252,1,5,0,2,0.0,1,1960,0,3,0,0,0,0,0,0,0,4,1,429,0,0,0,0,0,0,1,0,0
6,1200,0,1,1,1,84.0,1,1923,0,3,0,0,0,0,0,0,0,7,1,0,0,0,1,0,0,1,0,0,0
6,1096,1,1,0,0,60.0,1,1924,1,3,0,0,524,0,0,0,0,5,1,0,0,0,1,1,8,0,0,0,0
5,1040,1,0,0,2,60.0,1,1950,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0
8,1968,1,1,0,3,92.0,1,2009,0,3,0,0,1194,0,0,1,0,8,1,0,0,0,0,0,75,0,1,0,0
7,1947,0,1,0,2,100.0,1,2004,0,3,0,0,956,1,0,1,1,8,1,222,0,0,0,0,136,0,1,0,0
7,2462,1,1,0,2,134.0,1,2005,0,3,0,0,1070,0,0,1,0,9,1,57,0,0,0,0,132,0,1,1,0
6,1232,1,1,0,2,0.0,1,1984,0,3,0,0,0,0,0,1,0,6,1,660,0,0,0,0,0,0,1,0,0
9,2668,1,1,0,3,110.0,1,2003,0,3,0,0,1096,0,0,1,0,10,1,1016,0,0,0,0,0,0,1,0,0
7,1541,1,1,0,2,95.0,1,2005,0,3,0,0,0,0,0,1,0,7,1,1201,0,0,0,0,70,0,1,0,0
4,882,1,1,0,0,55.0,1,1956,0,3,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,1,0,0
6,1616,0,1,1,1,40.0,1,1926,0,4,0,0,467,0,0,0,0,5,1,370,0,0,1,0,0,1,0,0,0
5,1355,1,3,0,0,62.0,1,1940,0,4,0,0,547,0,0,0,0,6,1,351,0,0,1,0,0,0,1,0,0
5,1867,1,4,0,1,0.0,1,1955,0,3,0,0,0,1,0,0,0,7,1,379,0,0,0,0,0,1,0,0,0
8,2161,1,1,0,3,86.0,1,2007,0,3,0,0,551,0,0,1,0,8,1,1288,0,0,0,0,120,0,1,0,0
7,1720,1,1,0,2,62.0,1,2004,0,3,0,0,880,0,0,1,0,7,1,0,0,0,0,0,48,0,1,1,0
8,1707,1,1,0,2,0.0,1,1981,0,3,0,0,0,0,0,0,0,6,1,0,0,0,0,0,64,0,1,0,0
5,1382,0,1,1,2,0.0,1,1941,0,3,0,0,0,0,0,0,0,7,1,360,0,0,0,0,0,0,1,0,0
6,1656,1,1,0,2,141.0,1,1960,0,3,0,0,0,0,0,0,0,7,1,639,0,0,0,0,62,0,1,0,0
7,1767,1,3,0,2,44.0,1,1987,0,4,0,0,703,0,0,1,0,5,1,495,0,0,0,0,35,0,1,0,0
6,1362,1,3,0,2,80.0,1,1961,0,3,0,0,0,0,0,0,0,6,1,288,0,0,0,0,20,0,1,0,0
6,1651,1,2,0,2,47.0,1,1986,0,3,0,0,0,0,0,0,0,7,1,1398,0,0,0,0,0,0,1,0,0
6,2158,1,1,0,2,84.0,1,1950,0,3,0,0,0,0,0,0,0,7,1,477,0,0,0,0,29,0,1,0,0
6,2060,1,1,0,2,97.0,1,1988,0,3,0,0,896,0,0,1,0,8,1,831,0,0,0,0,228,0,1,0,0
5,1920,1,4,0,2,0.0,1,1958,0,4,0,0,668,0,0,0,0,8,1,57,0,0,0,0,0,0,1,0,0
9,2234,1,1,0,3,63.0,1,2008,0,3,0,0,0,0,0,1,0,9,1,1904,0,0,0,0,60,0,1,0,0
5,968,0,1,1,2,60.0,1,1923,0,3,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,0
6,1525,0,1,0,2,0.0,1,2000,0,3,0,0,756,0,0,1,1,5,1,436,0,0,0,0,0,0,1,0,0
7,1802,1,1,0,1,54.0,1,1920,0,3,0,0,901,0,0,0,0,9,1,352,0,0,1,0,0,0,1,0,0
5,1340,1,0,0,1,60.0,1,1957,1,3,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,1,0,0
7,2082,0,1,1,2,63.0,1,2003,0,3,0,0,720,0,0,1,0,6,1,0,0,0,0,0,238,0,1,0,0
5,1252,1,1,0,2,92.0,1,1908,0,3,0,0,316,0,0,1,0,5,0,0,0,0,0,0,0,0,1,0,0
10,3608,0,1,1,3,90.0,1,1892,1,4,0,0,1518,0,0,0,0,12,1,0,0,0,1,0,260,0,1,0,0
7,1217,1,1,0,2,0.0,1,1990,0,3,0,0,0,0,0,1,0,6,1,611,0,0,0,0,27,0,1,0,0
5,1656,1,1,0,1,60.0,1,1916,0,3,0,0,704,0,0,0,0,8,1,0,0,0,0,0,0,0,1,0,0
5,1224,1,1,0,2,64.0,1,1979,0,3,0,0,0,0,0,0,0,6,1,1086,0,0,0,0,0,0,1,0,0
8,1593,1,1,0,2,41.0,1,2001,0,3,0,0,0,0,0,1,0,5,1,1153,0,0,0,0,120,0,1,0,0
8,2727,1,1,0,2,70.0,1,1932,0,3,0,0,1178,0,0,0,0,10,1,297,0,0,0,0,74,0,1,0,0
7,1479,1,1,0,2,0.0,1,1972,0,3,0,0,754,0,0,0,0,7,1,626,0,0,0,0,32,0,1,0,0
7,1431,1,1,0,2,68.0,1,1999,0,3,0,0,0,0,0,1,0,6,1,560,0,0,0,0,35,0,1,0,0
7,1709,0,1,1,2,24.0,1,2004,0,3,0,0,739,0,0,1,0,7,1,0,0,0,0,0,40,0,1,0,0
5,864,1,1,0,1,60.0,1,1972,0,3,0,0,0,0,0,0,0,5,1,390,0,0,0,0,0,0,1,0,0
6,1456,1,1,0,2,24.0,1,1976,0,3,0,0,601,0,0,0,0,7,1,566,0,0,0,0,0,0,1,0,0
7,1726,1,1,0,3,79.0,1,2007,0,3,0,0,0,0,0,1,0,8,1,1126,0,0,0,0,138,0,1,0,0
8,3112,1,2,0,2,174.0,1,1918,1,4,0,0,1360,0,0,1,0,8,1,1036,0,0,0,0,16,0,1,0,0
6,2229,0,1,1,0,92.0,1,1912,0,3,0,0,929,0,0,0,0,8,1,0,0,0,0,0,198,0,1,0,0
8,1713,1,1,0,3,76.0,1,2004,0,3,0,0,0,0,0,1,0,7,1,1088,0,0,0,0,26,0,1,0,0
4,1121,0,1,1,2,80.0,1,2003,0,3,0,0,0,0,0,1,0,5,1,0,0,0,0,0,64,0,1,0,0
6,1279,1,2,0,2,75.0,1,1977,0,3,0,0,0,0,0,0,0,6,1,641,0,0,0,0,83,0,1,0,0
6,1310,1,1,0,1,50.0,1,1924,1,4,0,0,445,0,0,0,0,6,1,617,0,0,1,0,0,0,1,0,0
6,848,0,1,1,2,0.0,1,2004,0,3,0,0,0,0,0,1,0,3,1,662,0,0,0,0,0,0,1,0,0
5,1284,0,1,1,1,50.0,1,1947,0,3,0,0,564,0,0,0,0,5,1,312,0,0,0,0,35,0,1,0,0
7,1442,1,1,0,2,99.0,1,1990,0,3,0,0,0,0,0,1,0,5,1,0,0,0,0,0,34,0,1,1,0
5,1696,1,1,0,1,40.0,1,1962,0,4,0,0,0,0,0,0,0,8,1,0,0,0,0,0,30,0,1,0,0
4,1100,1,3,0,1,0.0,1,1960,0,3,0,0,0,1,0,1,0,6,1,419,0,0,0,0,0,0,1,0,0
7,2062,1,1,0,2,0.0,1,1988,0,3,0,0,882,0,0,0,0,7,1,1065,0,0,0,0,55,0,1,0,0
